# Callsign Distribution...
# Total Calls      6342 (100.0%)
# Local...         2883 ( 45.5%)
#  - USA           2607 ( 41.1%)
#  - Canada         206 (  3.2%)
#  - Mexico          47 (  0.7%)
#  - Alaska          13 (  0.2%)
#  - Hawaii          10 (  0.2%)
# DX...            3459 ( 54.5%)
#  - N. America      67 (  1.1%)
#  - S. America     380 (  6.0%)
#  - Europe        2100 ( 33.1%)
#  - Asia           706 ( 11.1%)
#  - Africa          43 (  0.7%)
#  - Oceania        132 (  2.1%)
#  - Maritime        31 (  0.5%)

cabrillo_id	year	call	host	cat	section	dxcc	score	qso	mult	late_log_flag	club	minutes_on	ops
ARRL-10	2025	7N2UQC	7N2UQC	SO-PH-LP		JA	6848	107	32	0		517	7N2UQC
ARRL-10	2025	7Q2T	7Q2T	SOU-MIX-HP		7Q	1807520	2104	260	0		1789	7Q2T
ARRL-10	2025	7Q7EB	7Q7EB	SO-PH-LP		7Q	972	28	18	0		213	7Q7EB
ARRL-10	2025	7X2VFK	7X2VFK	SO-PH-LP		7X	47712	290	84	0		589	7X2VFK
ARRL-10	2025	8P5A	8P5A	SO-CW-HP		8P	1997752	3183	158	0		1836	8P5A
ARRL-10	2025	8S0C	8S0C	SOU-PH-HP		SM	111104	439	128	0		1158	SM0MPV
ARRL-10	2025	8S8S	8S8S	SOU-PH-HP		SM	94612	437	109	0		728	SA5TIA
ARRL-10	2025	9A/W3WM	9A/W3WM	SOU-CW-HP		9A	133472	396	86	0		248	W3WM
ARRL-10	2025	9A1CBM	9A1CBM	MSHP		9A	742824	977	228	0		1446	9A3AXY 9A3MR 9A5ST
ARRL-10	2025	9A1DR	9A1DR	SOU-MIX-LP		9A	4482	43	27	0		53	9A1DR
ARRL-10	2025	9A1P	9A1P	SOU-PH-HP		9A	671250	1907	179	0		1404	9A1P
ARRL-10	2025	9A2CT	9A2CT	SO-MIX-HP		9A	414470	759	191	0		1112	9A2CT
ARRL-10	2025	9A2EY	9A2EY	SO-CW-LP		9A	48720	205	60	0		728	9A2EY
ARRL-10	2025	9A2V	9A2V	SO-CW-HP		9A	8512	77	28	0		181	9A2V
ARRL-10	2025	9A3XV	9A3XV	SOU-CW-HP		9A	6240	53	30	0		67	9A3XV
ARRL-10	2025	9A3YT	9A3YT	SOU-CW-HP		9A	243936	470	132	0		1156	9A3YT
ARRL-10	2025	9A4W	9A4W	SO-CW-LP		9A	11972	73	41	0		131	9A4W
ARRL-10	2025	9A4WY	9A4WY	SO-CW-HP		9A	111748	311	91	0		426	9A4WY
ARRL-10	2025	9A5AHG	9A5AHG	SO-MIX-LP		9A	100	10	5	0		36	9A5AHG
ARRL-10	2025	9A5D	9A5D	SOU-CW-HP		9A	783360	1299	153	0		1379	9A7Z
ARRL-10	2025	9A5E	9A5E	SO-CW-QRP		9A	19928	108	47	0		375	9A5E
ARRL-10	2025	9A5KV	9A5KV	SOU-PH-LP		9A	49980	248	102	0		1023	9A5KV
ARRL-10	2025	9A5KW	9A5KW	SOU-PH-LP		9A	220	11	10	0		43	9A5KW
ARRL-10	2025	9A5M	9A5M	SOU-CW-HP		9A	608580	957	161	0		1195	9A5M
ARRL-10	2025	9A5Y	9A5Y	MSHP		9A	2484720	2537	306	0		1754	9A3BBF 9A3SMS 9A5DX 9A7DX 9A9EE S55OO
ARRL-10	2025	9A6A	9A6A	SOU-CW-LP		9A	372204	641	147	0		1245	9A6A
ARRL-10	2025	9A6AR	9A6AR	SOU-MIX-HP		9A	23668	110	61	0		328	9A6AR
ARRL-10	2025	9A6AZW	9A6AZW	SOU-PH-LP		9A	2444	47	26	0		270	9A6AZW
ARRL-10	2025	9A7R	9A7R	SOU-CW-HP		9A	109440	229	120	0		359	9A7R
ARRL-10	2025	9A8A	9A8A	SO-CW-LP		9A	118440	319	94	0		701	9A8A
ARRL-10	2025	9A8DX	9A8DX	SO-PH-HP		9A	71148	297	121	0		523	9A8DX
ARRL-10	2025	9A925T	9A925T	SOU-MIX-LP		9A	244650	379	175	0		962	9A5MR
